Statistic	a	b	c	d	NrSites	Estimate_Total	Estimate_Jackknife	StdErr_Jackknife	Z_score_Jackknife
FST	Biaka	Balochi			593124	0.1625	0.1625	1.1852e-3	137.0700747878004
FST	Biaka	Basque			593124	0.1838	0.1838	1.3242e-3	138.78258407694267
FST	Biaka	BedouinA			593124	0.1461	0.1461	1.2313e-3	118.65775282589829
FST	Biaka	BedouinB			593124	0.1717	0.1717	1.4359e-3	119.54602714431549
FST	Biaka	Biaka			593124	0.0000	0.0000	0.0000	NaN
FST	Biaka	Brahui			593124	0.1629	0.1629	1.2125e-3	134.3141466303295
FST	Biaka	Burusho			593124	0.1643	0.1643	1.1112e-3	147.90185636075626
FST	Biaka	Druze			593124	0.1684	0.1684	1.2106e-3	139.0809774249103
FST	Biaka	French			593124	0.1757	0.1757	1.2770e-3	137.55409676863485
FST	Biaka	Han			593124	0.2031	0.2031	1.3654e-3	148.75800717874526
FST	Biaka	Hazara			593124	0.1669	0.1669	1.1325e-3	147.35227930343368
FST	Biaka	Italian_North			593124	0.1751	0.1751	1.3057e-3	134.08567701191953
FST	Biaka	Japanese			593124	0.2056	0.2056	1.3573e-3	151.4443481456337
FST	Biaka	Kalash			593124	0.1866	0.1866	1.1796e-3	158.15572131608013
FST	Biaka	Karitiana			593124	0.3021	0.3021	1.6933e-3	178.41362835612455
FST	Biaka	Makrani			593124	0.1583	0.1583	1.1794e-3	134.25542430466407
FST	Biaka	Mandenka			593124	4.5894e-2	4.5894e-2	7.3269e-4	62.63738378990837
FST	Biaka	Mayan			593124	0.2327	0.2327	1.6237e-3	143.30343012514462
FST	Biaka	Mozabite			593124	0.1340	0.1340	1.2142e-3	110.38110380516754
FST	Biaka	Orcadian			593124	0.1800	0.1800	1.2620e-3	142.63587835086614
FST	Biaka	Palestinian			593124	0.1543	0.1543	1.1637e-3	132.61336786606992
FST	Biaka	Papuan			593124	0.2598	0.2598	1.9846e-3	130.8853780866728
FST	Biaka	Pathan			593124	0.1629	0.1629	1.1539e-3	141.1965336093976
FST	Biaka	Pima			593124	0.2672	0.2672	1.6813e-3	158.9413543008382
FST	Biaka	Russian			593124	0.1759	0.1759	1.2959e-3	135.741881393931
FST	Biaka	Sardinian			593124	0.1821	0.1821	1.2317e-3	147.86956800545067
FST	Biaka	Sindhi_Pakistan			593124	0.1621	0.1621	1.1374e-3	142.53394993222724
FST	Biaka	Yakut			593124	0.2018	0.2018	1.4244e-3	141.66572173885098
FST	Biaka	Yoruba			593124	4.0430e-2	4.0430e-2	6.4603e-4	62.582334357078814
FST	Brahui	Adygei			593124	1.4644e-2	1.4644e-2	3.4481e-4	42.46989237781921
FST	Brahui	Balochi			593124	3.4976e-3	3.4976e-3	2.3458e-4	14.910391087896851
FST	Brahui	Basque			593124	3.2146e-2	3.2146e-2	5.0767e-4	63.320808891890564
FST	Brahui	BedouinA			593124	1.9196e-2	1.9196e-2	3.4084e-4	56.32143617990519
FST	Brahui	BedouinB			593124	4.0314e-2	4.0314e-2	6.1531e-4	65.51772515841334
FST	Brahui	Biaka			593124	0.1629	0.1629	1.2125e-3	134.3141466303295
FST	Brahui	Brahui			593124	0.0000	0.0000	0.0000	NaN
FST	Brahui	Burusho			593124	1.3776e-2	1.3776e-2	3.1322e-4	43.98325716724122
FST	Brahui	Druze			593124	2.0798e-2	2.0798e-2	3.9256e-4	52.9800526757539
FST	Brahui	French			593124	2.2173e-2	2.2173e-2	3.6493e-4	60.75860401270578
FST	Brahui	Han			593124	9.1448e-2	9.1448e-2	9.2104e-4	99.28696002310399
FST	Brahui	Hazara			593124	2.8140e-2	2.8140e-2	5.8194e-4	48.35560589714513
FST	Brahui	Italian_North			593124	2.1470e-2	2.1469e-2	4.4488e-4	48.25930382262433
FST	Brahui	Japanese			593124	9.3616e-2	9.3616e-2	9.1342e-4	102.48901440543898
FST	Brahui	Kalash			593124	3.3988e-2	3.3988e-2	5.8557e-4	58.04340770915311
FST	Brahui	Karitiana			593124	0.1947	0.1947	1.9712e-3	98.75299139340599
FST	Brahui	Makrani			593124	4.7636e-3	4.7636e-3	2.5027e-4	19.034240821881877
FST	Brahui	Mandenka			593124	0.1354	0.1354	1.0875e-3	124.51998424751687
FST	Brahui	Mayan			593124	0.1161	0.1161	1.5660e-3	74.13741815428642
FST	Brahui	Mozabite			593124	3.9967e-2	3.9968e-2	5.8096e-4	68.7960157906284
FST	Brahui	Orcadian			593124	2.5900e-2	2.5900e-2	4.7219e-4	54.850005425110105
FST	Brahui	Palestinian			593124	1.9315e-2	1.9315e-2	3.5489e-4	54.42558797799417
FST	Brahui	Papuan			593124	0.1739	0.1739	1.7374e-3	100.1048032479298
FST	Brahui	Pathan			593124	7.2377e-3	7.2376e-3	2.6730e-4	27.07645443864017
FST	Brahui	Pima			593124	0.1549	0.1549	1.7619e-3	87.93218675494056
FST	Brahui	Russian			593124	2.2725e-2	2.2725e-2	3.9355e-4	57.74287297113861
FST	Brahui	Sardinian			593124	3.3526e-2	3.3526e-2	5.0149e-4	66.85308718371125
FST	Brahui	Sindhi_Pakistan			593124	7.5264e-3	7.5263e-3	2.9770e-4	25.28155558593599
